Index,P_DNA_damage_pathways,P_apop_Chemo
1,0.847615078256202,0.263683829479552
2,0.755081161300832,0.365846658904557
3,0.804289303267066,0.175110549899429
4,0.607797078959714,0.776373969423474
5,0.223975426846312,0.105233646647548
6,0.364125108219019,0.507810488608022
7,0.432240383351866,0.946478212582374
8,0.448191226445761,0.488070017553044
9,0.822147846258261,0.057081886279102
10,0.244610850961254,0.815723773928638
11,0.614693551490399,0.651125910449289
12,0.863162288256696,0.277916754959105
13,0.810152531335234,0.756349494278041
14,0.732493112259106,0.149481758986588
15,0.189556842739803,0.721965432038635
16,0.707293193581185,0.700068351241058
17,0.293788220267357,0.922793117142201
18,0.39839030370579,0.71199519166635
19,0.17498020772344,0.003508978856609
20,0.009895192865764,0.35471730054834
21,0.646097843652729,0.062038242254427
22,0.269507771437494,0.91472914620005
23,0.023268255130042,0.459143312553737
24,0.79149066296927,0.076859575227123
25,0.508720495576611,0.956512259290017
26,0.406241474555683,0.842371762254466
27,0.070919038249543,0.864247687306781
28,0.838800194616685,0.797352178113046
29,0.14939455949338,0.497671381310106
30,0.287886526070259,0.014801329821733
31,0.635251854323168,0.304435969693343
32,0.424276705639987,0.739085210184557
33,0.929254013100797,0.115593511131448
34,0.203279254591566,0.762996402373663
35,0.474873762276412,0.566349368018699
36,0.621270776920368,0.097024464188365
37,0.665553055174053,0.969317187595511
38,0.675249809322204,0.021541191152478
39,0.15776403494273,0.605542860664112
40,0.581831514728306,0.581107898242252
41,0.030631252421455,0.51238021575576
42,0.948035484827679,0.311709151423448
43,0.686832636550818,0.532948106022021
44,0.950025842260914,0.126780330111727
45,0.114103169359349,0.192839578795189
46,0.136832769008967,0.421619287176231
47,0.271411132181719,0.575517004652134
48,0.568952335509507,0.228357573705291
49,0.783282829332886,0.384638341148802
50,0.105295150619031,0.344789559527737
51,0.382077681468589,0.202088163320385
52,0.169597720608088,0.631202649956952
53,0.352369266424176,0.806421159249328
54,0.996367525737564,0.322365531202167
55,0.19841093356016,0.162116498587134
56,0.593482915444675,0.216459446250184
57,0.980366310475116,0.856919047855976
58,0.961403140823223,0.159749117138929
59,0.729399281399303,0.333036658847309
60,0.765350904843263,0.130480454682883
61,0.69973822814601,0.990490189181397
62,0.547444243837517,0.61927999203075
63,0.932577740248683,0.397439864077401
64,0.452526788727734,0.087827861143212
65,0.216425804067171,0.821713581606296
66,0.885428668084524,0.235745431296602
67,0.911373860746683,0.554501385485365
68,0.305041323519474,0.523539141749385
69,0.529000700643215,0.247548671170504
70,0.124465626078296,0.439245200662939
71,0.019120978671601,0.446964523995891
72,0.553328260003857,0.977390328052815
73,0.483825079924419,0.291541352959792
74,0.04968144609818,0.031018323615754
75,0.08522806145434,0.257698004475339
76,0.239950850561144,0.590948456607803
77,0.37355932426065,0.877389729278272
78,0.740372317346485,0.284007067197533
79,0.650604054468347,0.675570818515975
80,0.773671751220862,0.984393829167659
81,0.874301665120589,0.475982214597378
82,0.095599941967738,0.628307207301243
83,0.329341149596356,0.641170035961956
84,0.573408154074038,0.690981115954855
85,0.068589637340776,0.667588896651917
86,0.319104727065065,0.469996997498941
87,0.901087438942431,0.838727588330488
88,0.416018513093136,0.183566258241546
89,0.519087742900995,0.884952557570823
90,0.896090411969705,0.744836132602749
91,0.257658635292785,0.9008581728528
92,0.337477489403767,0.787359335897219
93,0.859519954539422,0.401131032087372
94,0.341403914305012,0.890296328939783
95,0.492763543864704,0.41898458241573
96,0.977653184514096,0.687074849689616
97,0.461214119407901,0.545630126067328
98,0.059283316937521,0.040693784872623
99,0.710411225690942,0.370366826077699
100,0.536970137978325,0.933432581981774
