Index,scpro_jux,nbdiff_jux,nbdiff_amount,nbapop_jux,P_cycle_sc,P_cycle_nb
1,0.271324827966308,0.942076237621962,0.884625232347205,0.5606338416423,0.012276308285062,0.52959751140908
2,0.863694557378612,0.21256460927993,0.006363057769438,0.447604057441954,0.416031796303709,0.147411980638005
3,0.478858035139578,0.027976522802961,0.63794324426559,0.882899718781972,0.427296398751192,0.246454204887779
4,0.798369009360993,0.764058280676282,0.808739169332305,0.764488089867648,0.477900160840895,0.717712574222751
5,0.938402087258593,0.8968178381293,0.744685694132151,0.433940678667234,0.107749269988755,0.584523626188102
6,0.303911159847968,0.262071273626674,0.70895800596491,0.995953508460876,0.829323147043051,0.949651761926457
7,0.386041302282604,0.135950359764812,0.150445888615583,0.271792184031511,0.02503251035757,0.901067261456795
8,0.549747173065775,0.654859087562669,0.854920975938024,0.602157712832301,0.193127692864517,0.997573325061223
9,0.441013366969493,0.222955989524171,0.16995378005125,0.546269328581028,0.407729866400478,0.461916304123819
10,0.324684083605761,0.493916323584806,0.118983831128517,0.860276045838124,0.464480304494701,0.510994774103448
11,0.297903679410541,0.209393228791442,0.488467077971563,0.213510453167335,0.734658920065727,0.062387191207673
12,0.851551882119637,0.586926346339862,0.413087181716914,0.183276010443908,0.872503785363438,0.414675652013916
13,0.075161448789821,0.091880396383483,0.31954837990175,0.856709559260495,0.860118526270226,0.169568128220641
14,0.029600979041508,0.512730980072707,0.020510682294512,0.264206929702941,0.616295371574987,0.868310870584429
15,0.831831591774802,0.075690006163688,0.339655058598127,0.799446247165384,0.131037449461803,0.172177955539095
16,0.755155298883773,0.468857870296623,0.762228327384523,0.429321362707615,0.969152767179168,0.326785264568775
17,0.829582904092783,0.917245827156435,0.774087681997746,0.559724288784892,0.298939422466096,0.083090950224322
18,0.58531897511871,0.639919790897423,0.404910510526726,0.640082639994818,0.304054950542981,0.986750717466117
19,0.906029241953345,0.888018787380639,0.523045494192524,0.986254718949167,0.214396241585884,0.74597391937162
20,0.800034726346608,0.279157561557928,0.724453200360256,0.356115687028912,0.045528709529917,0.278838348872511
21,0.349717177819093,0.107971042858047,0.131812097291556,0.97275290818238,0.031314394577314,0.300191528934742
22,0.739288667268977,0.332219925978655,0.451175722803696,0.696763552402465,0.28892035150182,0.597546586941138
23,0.365958909607317,0.183465721647313,0.692461630306451,0.361821715240737,0.622585882369466,0.366465941292417
